loc_code,site_id,site_name,zone_id,zone_name,zone_type,type_label,aisle,bay,level,row,position,pos_text,line_site,line_zone,company,status
MAG-ACC-01,MAG,mag,ACC,arrivi,BULK,BULK,,,,,01,Posizione 01,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-02,MAG,mag,ACC,arrivi,BULK,BULK,,,,,02,Posizione 02,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-03,MAG,mag,ACC,arrivi,BULK,BULK,,,,,03,Posizione 03,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-04,MAG,mag,ACC,arrivi,BULK,BULK,,,,,04,Posizione 04,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-05,MAG,mag,ACC,arrivi,BULK,BULK,,,,,05,Posizione 05,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-06,MAG,mag,ACC,arrivi,BULK,BULK,,,,,06,Posizione 06,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-07,MAG,mag,ACC,arrivi,BULK,BULK,,,,,07,Posizione 07,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-08,MAG,mag,ACC,arrivi,BULK,BULK,,,,,08,Posizione 08,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-09,MAG,mag,ACC,arrivi,BULK,BULK,,,,,09,Posizione 09,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-10,MAG,mag,ACC,arrivi,BULK,BULK,,,,,10,Posizione 10,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-11,MAG,mag,ACC,arrivi,BULK,BULK,,,,,11,Posizione 11,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-12,MAG,mag,ACC,arrivi,BULK,BULK,,,,,12,Posizione 12,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-13,MAG,mag,ACC,arrivi,BULK,BULK,,,,,13,Posizione 13,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-14,MAG,mag,ACC,arrivi,BULK,BULK,,,,,14,Posizione 14,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-15,MAG,mag,ACC,arrivi,BULK,BULK,,,,,15,Posizione 15,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-16,MAG,mag,ACC,arrivi,BULK,BULK,,,,,16,Posizione 16,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-17,MAG,mag,ACC,arrivi,BULK,BULK,,,,,17,Posizione 17,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-18,MAG,mag,ACC,arrivi,BULK,BULK,,,,,18,Posizione 18,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-19,MAG,mag,ACC,arrivi,BULK,BULK,,,,,19,Posizione 19,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-ACC-20,MAG,mag,ACC,arrivi,BULK,BULK,,,,,20,Posizione 20,Sito: MAG - mag,Zona: ACC - arrivi,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-01-A,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,01,A,,,Corsia 01 - Campata 01 - Livello A,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-01-B,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,01,B,,,Corsia 01 - Campata 01 - Livello B,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-01-C,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,01,C,,,Corsia 01 - Campata 01 - Livello C,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-01-D,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,01,D,,,Corsia 01 - Campata 01 - Livello D,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-01-T,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,01,T,,,Corsia 01 - Campata 01 - Livello T,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-02-A,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,02,A,,,Corsia 01 - Campata 02 - Livello A,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-02-B,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,02,B,,,Corsia 01 - Campata 02 - Livello B,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-02-C,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,02,C,,,Corsia 01 - Campata 02 - Livello C,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-02-D,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,02,D,,,Corsia 01 - Campata 02 - Livello D,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-02-T,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,02,T,,,Corsia 01 - Campata 02 - Livello T,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-03-A,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,03,A,,,Corsia 01 - Campata 03 - Livello A,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-03-B,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,03,B,,,Corsia 01 - Campata 03 - Livello B,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-03-C,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,03,C,,,Corsia 01 - Campata 03 - Livello C,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
MAG-SCA-01-03-D,MAG,mag,SCA,scaffale,RACK,SCAFFALE,01,03,D,,,Corsia 01 - Campata 03 - Livello D,Sito: MAG - mag,Zona: SCA - scaffale,DIETOPACK S.r.l. - Naturacare Group,ok
